title,votes,views,tags,user,date
How do I check if an element is hidden in jQuery?,8030,"Viewed 2,811,178 times","['javascript', 'jquery', 'dom', 'visibility']",Philip Morton,2008-10-07 13:03:18
How do I rename a local Git branch?,9173,"Viewed 3,278,133 times","['git', 'version-control', 'git-branch']",Forrest,2011-07-06 03:20:36
Why does HTML think “chucknorris” is a color?,7943,"Viewed 625,829 times","['html', 'browser', 'background-color']",user456584,2011-11-29 22:54:22
How do I force “git pull” to overwrite local files?,7810,"Viewed 5,504,874 times","['git', 'version-control', 'overwrite', 'git-pull', 'git-fetch']",Jakub Troszok,2009-07-14 14:58:15
What is the “-->” operator in C/C++?,9312,"Viewed 843,000 times","['c++', 'c', 'operators', 'code-formatting', 'standards-compliance']",GManNickG,2009-10-29 06:57:45
How can I remove a specific item from an array?,9190,"Viewed 7,855,393 times","['javascript', 'arrays']",Walker,2011-04-23 22:17:18
Can comments be used in JSON?,8128,"Viewed 2,597,473 times","['json', 'comments']",Michael Gundlach,2008-10-28 20:39:03
What and where are the stack and heap?,8432,"Viewed 1,581,380 times","['memory-management', 'stack', 'language-agnostic', 'heap', 'dynamic-memory-allocation']",mattshane,2008-09-17 04:18:06
How do I delete a Git branch locally and remotely?,17745,"Viewed 8,663,777 times","['git', 'version-control', 'git-branch', 'git-push', 'git-remote']",Matthew Rankin,2010-01-05 01:12:15
What is the difference between 'git pull' and 'git fetch'?,12398,"Viewed 2,922,304 times","['git', 'version-control', 'git-pull', 'git-fetch']",pupeno,2008-11-15 09:51:09
What is the correct JSON content type?,10615,"Viewed 3,057,502 times","['json', 'http-headers', 'content-type']",Oli,2009-01-25 15:25:19
How do I undo 'git add' before commit?,9590,"Viewed 3,532,123 times",['git'],paxos1977,2008-12-07 21:57:46
How do I undo the most recent local commits in Git?,22348,"Viewed 9,339,691 times","['git', 'version-control', 'git-commit', 'undo']",Peter Mortensen,2009-05-29 18:09:14
"What does “use strict” do in JavaScript, and what is the reasoning behind it?",7786,"Viewed 1,118,933 times","['javascript', 'syntax', 'jslint', 'use-strict']",Mark Rogers,2009-08-26 16:10:13
Why is processing a sorted array faster than processing an unsorted array?,25305,"Viewed 1,580,492 times","['java', 'c++', 'performance', 'optimization', 'branch-prediction']",GManNickG,2012-06-27 13:51:36
What does the “yield” keyword do?,10957,"Viewed 2,450,974 times","['python', 'iterator', 'generator', 'yield', 'coroutine']",Alex. S.,2008-10-23 22:21:11
How do I remove a property from a JavaScript object?,6488,"Viewed 2,424,263 times","['javascript', 'javascript-objects']",johnstok,2008-10-16 10:57:45
What does if __name__ == “__main__”: do?,6652,"Viewed 3,346,588 times","['python', 'namespaces', 'main', 'python-module', 'idioms']",Devoted,2009-01-07 04:11:00
Why Is Subtracting These Two Times (in 1927) Giving A Strange Result?,7097,"Viewed 722,320 times","['java', 'date', 'timezone']",Freewind,2011-07-27 08:15:58
Does Python have a ternary conditional operator?,6517,"Viewed 2,094,210 times","['python', 'operators', 'ternary-operator', 'conditional-operator']",Devoted,2008-12-27 08:32:18
What is the difference between String and string in C#?,6834,"Viewed 1,145,424 times","['c#', '.net', 'string', 'types', 'alias']",Peter O.,2008-08-10 07:18:02
How to check whether a string contains a substring in JavaScript?,7421,"Viewed 6,510,706 times","['javascript', 'string', 'substring', 'string-matching']",Peter O.,2009-11-24 13:04:29
Is Java “pass-by-reference” or “pass-by-value”?,6947,"Viewed 2,132,605 times","['java', 'methods', 'parameter-passing', 'pass-by-reference', 'pass-by-value']",user4315,2008-09-02 20:14:29
How do I revert a Git repository to a previous commit?,7626,"Viewed 6,826,543 times","['git', 'git-checkout', 'git-reset', 'git-revert']",Crazy Serb,2010-11-06 16:58:14
